User Id,ISBN,Puan
1,9786050914443,5
1,9789752103924,5
1,9789752104556,9
1,9789759997199,5
1,9789756902165,6
1,9786051416830,6
1,9786053328582,6
1,9786052950722,8
1,9789759955762,9
1,9789753426527,9
1,9789750806603,8
1,9786050930665,10
1,9789752890435,9
1,9789750809777,9
1,9789750735639,10
1,9789755705866,7
1,9786051141060,4
1,9789750500848,5
1,9786053328322,5
1,9786051852478,7
1,9789750705243,6
1,9789944887632,7
1,9789754050226,10
1,9789750805288,7
1,9789753637084,5
1,9786050918038,6
1,9789758950379,6
1,9789754587395,7
1,9789750825927,7
1,9786054985456,6
1,9789944691321,10
1,9789750826672,9
1,9786053849452,8
1,9789752890244,10
1,9789759955748,8
1,9786053325543,9
1,9789754370546,7
1,9789758440757,8
1,9789750700576,8
1,9789944889209,9
1,9786055147723,7
1,9789752892514,10
1,9789759914943,9
1,9789750732737,10
1,9789759962814,7
1,9789750505386,8
1,9789753422024,10
1,9789750807219,8
1,9789759913687,9
1,9786055147945,6
1,9786055162740,5
1,9786050940596,8
1,9789750807459,7
1,9786051114699,6
1,9786053481157,8
1,9789751408259,9
1,9789944885775,10
1,9789754588255,6
1,9786052955840,7
1,9786051851969,10
1,9789750710551,9
1,9786053110514,10
1,9786053435938,6
1,9789754702101,8
1,9789123475315,8
1,9786051419336,4
1,9789754948554,6
1,9789752732278,10
1,9786059144728,6
1,9786053327608,6
1,9789755393698,5
1,9786051140957,9
1,9789754680942,9
1,9789750807060,8
1,9759914301,6
1,9789753633084,5
1,9789753420570,10
1,9786053329206,4
1,9789750503726,7
1,9750506307,7
1,9789750814907,7
1,9786059585675,6
1,9786059840583,5
1,9786053140177,9
1,978-605-348-055-6,5
1,9789754707823,8
1,9789750813887,9
1,9786053322085,9
1,9786052111338,6
1,9786055455668,6
1,9786054188000,5
1,9786053756040,6
1,9789944885850,6
1,9789750708794,10
1,9789753423618,7
1,9786054729692,10
1,9786053607243,9
1,9786055262693,9
1,9786051143163,9
1,9786058301153,10
2,9786050939828,6
2,9789752104037,8
2,9786053757818,9
2,9786053600138,5
2,9786054188710,6
2,9789750802942,6
2,9786053430674,10
2,9786054322374,7
2,9789750738869,5
2,9786053322122,10
2, 9789752201279,5
2,9789752110595,4
2,9786052954591,4
2,9789756388020,9
2,9789758950119,9
2,9789759996741,7
2,9789752123267,10
2,9786053606741,8
2,9789944880985,7
2,9789750705243,10
2,9786054188895,5
2,9786053321170,7
2,9789754370799,5
2,9789750817779,7
2,9789752638518,10
2,9789752892422,10
2,9789752894532,8
2,9789754378009,9
2,9786059840736,6
2,9786054560868,10
2,9789759955748,9
2,9789750807030,10
2,9786055420796,7
2,9789754370546,10
2,9789754051520,6
2,9786053321262,7
2,9789750807046,5
2,9789753639015,7
2,9786055943394,6
2,9786053608851,6
2,9786054560875,10
2,9789759914943,9
2,9786059913553,6
2,9789752892637,6
2,9789753628686,10
2,9786050913149,6
2,9789759962814,8
2,9786059840682,9
2,9789752893429,9
2,9789759913687,7
2,9786050822038,10
2,9786052954171,4
2,9789753900799,5
2,9786051850788,8
2,9786056501944,7
2,9789750712913,3
2,9789759914899,9
2,9786051850412,10
2,9786052951040,8
2,9789756195130,5
2,9789750805561,9
2,9789750801990,9
2,9789750806735,9
2,9786053435938,5
2,9789750733062,5
2,9789944432085,6
2,9786051419336,6
2,9786055420567,5
2,9786053754466,6
2,9789756093627,9
2,9786053324942,6
2,9786059702249,8
2,9789756287293,5
2,9789759969158,6
2,9789754032710,9
2,9789944821964,6
2,9789754707069,6
2,9786059658904,8
2,9789758607877,6
2,9789944825344,6
2,9786059840583,5
2,9789752104673,7
2,9786053140177,10
2,9789944983372,5
2,9786053607465,5
2,9789754707823,7
2,9786050946314,8
2,9789753900690,6
2,9786053322085,7
2,9789750805486,7
2,9786054927531,9
2,9786053113867,8
