Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı 
Patasana,Ahmet Ümit,null,Kasım 2012,400,Karton kapak,9789752897366,"Edebiyat, Polisiye, Roman, Tarih",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%7.314-17 Yaş%5.118-24 Yaş%14.825-34 Yaş%28.235-44 Yaş%30.845-54 Yaş%11.955-64 Yaş%0.965+ Yaş%1.1,Kadın%71.7Erkek%28.3,8.3,1.725
Gazap Üzümleri,"John Steinbeck, Belkıs Çorakçı Dişbudak (Çevirmen)",null,Ağustos 2015,556,Karton kapak,9789755707402,"Dünya Klasikleri, Edebiyat, Roman",The Grapes Of Wrath,null,Türkçe,Türkiye,null,null,0-13 Yaş%16.714-17 Yaş%5.318-24 Yaş%17.825-34 Yaş%27.135-44 Yaş%21.345-54 Yaş%8.255-64 Yaş%1.265+ Yaş%2.5,Kadın%60Erkek%40,9.0,2.159
Soğuk Kahve,Ahmet Batman,null,Nisan 2013,224,Karton kapak,9786054771011,"Deneme-İnceleme, Edebiyat",null,null,Türkçe,Türkiye,Destek Yayınları,null,0-13 Yaş%9.314-17 Yaş%13.718-24 Yaş%36.125-34 Yaş%21.835-44 Yaş%1345-54 Yaş%4.655-64 Yaş%0.565+ Yaş%1,Kadın%85.1Erkek%14.8,5.8,1.578
Uzun Hikâye,Mustafa Kutlu,null,Ocak 2018,115,Karton kapak,9789759953331,"Edebiyat, Hikaye (Öykü)",null,null,Türkçe,Türkiye,Dergâh Yayınları,null,0-13 Yaş%9.314-17 Yaş%14.318-24 Yaş%29.925-34 Yaş%27.735-44 Yaş%13.245-54 Yaş%3.255-64 Yaş%0.965+ Yaş%1.6,Kadın%72.2Erkek%27.6,8.5,1.686
Yağmur Sonrası,"Sarah Jio, Duygu Parsadan (Çevirmen)",null,Nisan 2013,347,Karton kapak,9789759996741,"Aşk, Edebiyat, Roman",The Bungalow,Duygu Parsadan,Türkçe,null,null,null,0-13 Yaş%7.314-17 Yaş%17.518-24 Yaş%20.925-34 Yaş%20.335-44 Yaş%23.545-54 Yaş%8.655-64 Yaş%1.365+ Yaş%0.6,Kadın%93.4Erkek%6.5,8.6,1.756
Başlangıç,"Dan Brown, Petek Demir (Çevirmen)",Robert Langdon Serisi 5,Ekim 2017,536,Karton kapak,9789752123267,"Edebiyat, Macera-Aksiyon, Roman",Origin,null,Türkçe,null,null,null,0-13 Yaş%10.414-17 Yaş%7.718-24 Yaş%15.625-34 Yaş%24.435-44 Yaş%29.445-54 Yaş%10.355-64 Yaş%0.765+ Yaş%1.5,Kadın%59.3Erkek%40.7,8.5,2.386
Baba ve Piç,"Elif Şafak, Aslı Biçen (Çevirmen)",null,Kasım 2012,418,Karton kapak,9786051114682,"Edebiyat, Roman",null,Aslı Biçen,Türkçe,Türkiye,null,null,0-13 Yaş%7.514-17 Yaş%1.918-24 Yaş%15.625-34 Yaş%31.235-44 Yaş%3045-54 Yaş%10.955-64 Yaş%1.965+ Yaş%1.1,Kadın%78.9Erkek%21.1,7.8,1.530
Robinson Crusoe,"Daniel Defoe, Fadime Kahya (Çevirmen)",null,Eylül 2016,336,Karton kapak,9786053606741,"Dünya Klasikleri, Edebiyat, Roman",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%5.314-17 Yaş%7.218-24 Yaş%26.425-34 Yaş%28.535-44 Yaş%1945-54 Yaş%9.955-64 Yaş%1.565+ Yaş%2.2,Kadın%56.8Erkek%43.2,8.4,1.501
Kayıp Gül,Serdar Özkan,null,2012,205,Karton kapak,9786051141060,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Timaş Yayınları,null,0-13 Yaş%5.214-17 Yaş%5.318-24 Yaş%31.525-34 Yaş%26.635-44 Yaş%20.945-54 Yaş%8.155-64 Yaş%0.965+ Yaş%1.6,Kadın%82.6Erkek%17.3,7.1,1.353
Kinyas ve Kayra,Hakan Günday,null,2000,531,Karton kapak,9789759917951,"Edebiyat, Roman, Yeraltı Edebiyatı",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%18.914-17 Yaş%7.218-24 Yaş%19.125-34 Yaş%26.635-44 Yaş%2045-54 Yaş%4.955-64 Yaş%0.565+ Yaş%2.9,Kadın%62.5Erkek%37.4,8.7,2.391
Ruh Adam,Hüseyin Nihal Atsız,null,2011,308,Karton kapak,9754378023,Roman,null,null,Türkçe,Türkiye,Ötüken Neşriyat,null,0-13 Yaş%9.314-17 Yaş%9.418-24 Yaş%27.425-34 Yaş%32.435-44 Yaş%12.945-54 Yaş%5.355-64 Yaş%0.865+ Yaş%2.6,Kadın%52.4Erkek%47.5,8.9,2.357
Karamazov Kardeşler,"Dostoyevski, Nihal Yalaza Taluy (Çevirmen)",null,18 Ocak 2019,1008,Karton kapak,9789944880985,"Dünya Klasikleri, Edebiyat, Roman",Братья Карамазовы,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.614-17 Yaş%3.418-24 Yaş%1925-34 Yaş%31.235-44 Yaş%26.845-54 Yaş%10.255-64 Yaş%1.965+ Yaş%1.9,Kadın%49.6Erkek%50.4,9.1,2.105
Küçük Mucizeler Dükkanı,"Debbie Macomber, Ozan Aydın (Çevirmen)",Blossom Street Serisi 1,Eylül 2011,480,Karton kapak,9786055420314,"Edebiyat, Roman",The Shop On Blossom Street,Ozan Aydın,null,null,null,null,0-13 Yaş%6.214-17 Yaş%7.318-24 Yaş%24.925-34 Yaş%22.835-44 Yaş%25.145-54 Yaş%11.655-64 Yaş%1.165+ Yaş%0.9,Kadın%94.2Erkek%5.7,7.5,1.290
Yüreğinin Götürdüğü Yere Git,"Susanna Tamaro, Eren Yücesan Cendey (Çevirmen)",null,Mart 2019,152,Karton kapak,9789750719622,"Edebiyat, Roman",Va' Dove Ti Porta Il Cuore,null,Türkçe,Türkiye,null,null,0-13 Yaş%4.714-17 Yaş%3.418-24 Yaş%12.825-34 Yaş%25.235-44 Yaş%37.845-54 Yaş%13.355-64 Yaş%1.365+ Yaş%1.5,Kadın%84.4Erkek%15.6,8.0,1.335
Leyla'nın Evi,Zülfü Livaneli,null,Mayıs 2017,284,Karton kapak,9786050906486,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%7.714-17 Yaş%4.118-24 Yaş%11.725-34 Yaş%27.235-44 Yaş%3345-54 Yaş%13.555-64 Yaş%1.665+ Yaş%1.1,Kadın%81.2Erkek%18.8,8.5,1.718
Sultanı Öldürmek,Ahmet Ümit,null,Nisan 2019,528,Karton kapak,9786051410135,"Edebiyat, Polisiye, Roman, Tarih",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%7.214-17 Yaş%4.318-24 Yaş%17.925-34 Yaş%26.235-44 Yaş%29.545-54 Yaş%1355-64 Yaş%165+ Yaş%1,Kadın%68.1Erkek%31.8,8.1,1.624
Açlık,"Knut Hamsun, Behçet Necatigil (Çevirmen)",null,Kasım 2017,158,Karton kapak,9789754344073,"Edebiyat, Roman",Sult,null,Türkçe,Türkiye,null,null,0-13 Yaş%7.614-17 Yaş%2.718-24 Yaş%22.825-34 Yaş%3735-44 Yaş%19.145-54 Yaş%7.155-64 Yaş%1.465+ Yaş%2.2,Kadın%59Erkek%41,8.3,2.029
Yaşlı Adam ve Deniz,"Ernest Hemingway, Yasemin Yener (Çevirmen), Biray Üstüner (Editör)",İhtiyar Balıkçı - Bütün Eserleri 1,21 Nisan 2019,136,Karton kapak,9789752201682,"Edebiyat, Roman",The Old Man and the Sea,null,Türkçe,null,null,null,0-13 Yaş%5.614-17 Yaş%7.918-24 Yaş%23.925-34 Yaş%30.835-44 Yaş%2045-54 Yaş%8.255-64 Yaş%1.465+ Yaş%2.2,Kadın%60.1Erkek%39.8,8.1,1.822
Kör Baykuş,"Sadık Hidayet, Behçet Necatigil (Çevirmen)",null,Ocak 2019,95,Karton kapak,9789750803024,"Edebiyat, Roman",Bûf-i Kûr,null,Türkçe,Türkiye,null,null,0-13 Yaş%6.414-17 Yaş%2.618-24 Yaş%26.325-34 Yaş%38.435-44 Yaş%1845-54 Yaş%5.155-64 Yaş%0.865+ Yaş%2.5,Kadın%62.4Erkek%37.5,8.3,2.091
Güneşi Uyandıralım,"José Mauro de Vasconcelos, Aydın Emeç (Çevirmen)",null,18 Şubat 2018,280,Karton kapak,9789750725050,"Edebiyat, Roman",Vamos Aquecer O Sol,null,Türkçe,Türkiye,null,null,0-13 Yaş%7.614-17 Yaş%10.618-24 Yaş%25.625-34 Yaş%2835-44 Yaş%20.145-54 Yaş%655-64 Yaş%0.765+ Yaş%1.3,Kadın%79.5Erkek%20.4,8.5,1.733
Kendine Ait Bir Oda,"Virginia Woolf, Suğra Öncü (Çevirmen)",null,Aralık 2002,127,Karton kapak,9789750500848,"Deneme-İnceleme, Dünya Klasikleri, Edebiyat",A Room Of One's Own,Suğra Öncü,Türkçe,null,null,null,0-13 Yaş%6.914-17 Yaş%8.718-24 Yaş%33.525-34 Yaş%3035-44 Yaş%13.645-54 Yaş%4.955-64 Yaş%0.965+ Yaş%1.6,Kadın%84.8Erkek%15.1,8.0,1.776
Don Quijote,"Miguel de Cervantes, Ahmet Güntan (Çevirmen), Roza Hakmen (Çevirmen)",La Mancha'lı Yaratıcı Asilzade - 2 Cilt Takım,Ağustos 2016,920,Karton kapak,9789753633383,"Dünya Klasikleri, Edebiyat, Roman",El Ingenioso Hidalgo Don Quijote De La Mancha,null,Türkçe,null,null,null,0-13 Yaş%1.114-17 Yaş%4.318-24 Yaş%22.125-34 Yaş%34.935-44 Yaş%23.545-54 Yaş%11.155-64 Yaş%1.665+ Yaş%1.5,Kadın%59.5Erkek%40.5,8.6,1.586
Çi,Akilah Azra Kohen,İyi bir hikaye asıl bittiğinde başlar,Temmuz 2014,320,Karton kapak,9786054994816,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%9.914-17 Yaş%3.818-24 Yaş%13.525-34 Yaş%27.535-44 Yaş%32.745-54 Yaş%11.155-64 Yaş%0.565+ Yaş%0.9,Kadın%84.1Erkek%15.8,8.1,1.632
Harry Potter ve Zümrüdüanka Yoldaşlığı,"J. K. Rowling (Robert Galbraith), Sevin Okyay (Çevirmen), Kutlukhan Kutlu (Çevirmen)",Harry Potter #5,Mart 2016,975,Karton kapak,9789750806452,"Edebiyat, Fantastik, Gençlik, Roman",Harry Potter And The Order Of Phoenix,null,Türkçe,null,null,null,0-13 Yaş%5.514-17 Yaş%17.518-24 Yaş%32.825-34 Yaş%3035-44 Yaş%9.645-54 Yaş%2.955-64 Yaş%0.565+ Yaş%1.2,Kadın%73.7Erkek%26.3,9.4,1.830
Posta Kutusundaki Mızıka,A. Ali Ural,null,27 Kasım 2018,191,Karton kapak,9799756841357,"Deneme-İnceleme, Edebiyat",null,null,Türkçe,Türkiye,Şule Yayınları,null,0-13 Yaş%11.214-17 Yaş%9.318-24 Yaş%31.425-34 Yaş%33.135-44 Yaş%9.645-54 Yaş%2.855-64 Yaş%0.165+ Yaş%2.5,Kadın%83.3Erkek%16.6,8.7,1.903
Ölü Ozanlar Derneği,"N. H. Kleinbaum, Gül Yılmaz (Çevirmen)",null,2003,160,Karton kapak,9786055261122,"Edebiyat, Roman",null,Gül Yılmaz,Türkçe,Türkiye,null,null,0-13 Yaş%5.414-17 Yaş%8.118-24 Yaş%22.425-34 Yaş%28.235-44 Yaş%27.145-54 Yaş%6.855-64 Yaş%0.765+ Yaş%1.3,Kadın%72Erkek%28,8.8,1.720
Babaya Mektup,"Franz Kafka, Regaip Minareci (Çevirmen)",null,Ağustos 2016,72,Karton kapak,9786053328322,"Anı-Mektup-Günlük, Dünya Klasikleri, Edebiyat",Brief An Der Vater,Regaip Minareci,Türkçe,null,null,null,0-13 Yaş%7.514-17 Yaş%12.518-24 Yaş%30.325-34 Yaş%3035-44 Yaş%13.445-54 Yaş%4.155-64 Yaş%0.365+ Yaş%2,Kadın%67.2Erkek%32.6,8.0,1.772
Kırlangıç Çığlığı,"Ahmet Ümit, Utku Lomlu (Tasarımcı)",null,Nisan 2018,400,Karton kapak,9786051852478,"Edebiyat, Polisiye, Roman",Kırlangıç Çığlığı,null,Türkçe,Türkiye,null,null,0-13 Yaş%11.414-17 Yaş%8.518-24 Yaş%11.925-34 Yaş%21.735-44 Yaş%30.745-54 Yaş%1355-64 Yaş%0.865+ Yaş%2.1,Kadın%70.7Erkek%29.2,8.7,2.208
Çile,Necip Fazıl Kısakürek,null,Kasım 2014,512,Karton kapak,9789758180127,"Edebiyat, Şiir",null,null,Türkçe,Türkiye,Büyük Doğu Yayınları,null,0-13 Yaş%8.214-17 Yaş%7.718-24 Yaş%26.125-34 Yaş%30.635-44 Yaş%17.845-54 Yaş%5.955-64 Yaş%1.265+ Yaş%2.7,Kadın%56.7Erkek%43.3,9.1,1.704
Çocuk Kalbi,"Edmondo De Amicis, Meryem Mine Çilingiroğlu (Çevirmen)",null,2012,328,Karton kapak,9786053848806,"Çocuk, Edebiyat, Roman",Cuore,Meryem Mine Çilingiroğlu,Türkçe,null,null,null,0-13 Yaş%8.314-17 Yaş%12.718-24 Yaş%24.725-34 Yaş%27.935-44 Yaş%16.845-54 Yaş%7.655-64 Yaş%0.765+ Yaş%1.3,Kadın%81.9Erkek%18,8.4,1.230
Yüzbaşının Kızı,"Aleksandr Puşkin, Ergin Altay (Çevirmen)",null,Eylül 2016,198,Karton kapak,9789750517310,"Dünya Klasikleri, Edebiyat, Roman",Капитанская дочка,Ergin Altay,Türkçe,null,null,null,0-13 Yaş%5.614-17 Yaş%418-24 Yaş%22.425-34 Yaş%31.735-44 Yaş%25.245-54 Yaş%7.855-64 Yaş%1.765+ Yaş%1.6,Kadın%62.7Erkek%37.1,8.0,1.530
Notre Dame'ın Kamburu,"Victor Hugo, Volkan Yalçıntoklu (Çevirmen)",null,Ocak 2016,572,Karton kapak,9786053320104,"Dünya Klasikleri, Edebiyat, Roman",Notre-Dame de Paris,null,Türkçe,Türkiye,null,null,0-13 Yaş%10.514-17 Yaş%7.418-24 Yaş%24.925-34 Yaş%29.935-44 Yaş%17.845-54 Yaş%655-64 Yaş%0.865+ Yaş%2.7,Kadın%66.9Erkek%33.1,8.8,1.659
Seksen Günde Dünya Gezisi,"Jules Verne, Bertan Onaran (Çevirmen)",null,Ocak 2013,272,Karton kapak,9786053329817,"Dünya Klasikleri, Edebiyat, Roman",Le tour du monde en quatrevingts jours,Bertan Onaran,Türkçe,null,null,null,0-13 Yaş%4.414-17 Yaş%9.518-24 Yaş%28.125-34 Yaş%23.835-44 Yaş%21.445-54 Yaş%9.755-64 Yaş%1.465+ Yaş%1.8,Kadın%64.3Erkek%35.7,8.4,1.153
Kuşlar Yasına Gider,Hasan Ali Toptaş,null,Mart 2019,250,Karton kapak,9786051850665,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Everest Yayınları,null,0-13 Yaş%9.814-17 Yaş%5.618-24 Yaş%22.525-34 Yaş%35.635-44 Yaş%18.845-54 Yaş%5.655-64 Yaş%0.565+ Yaş%1.8,Kadın%73.2Erkek%26.7,8.4,2.104
Aforizmalar,"Franz Kafka, Osman Çakmakçı (Çevirmen)",null,Mayıs 2017,109,Karton kapak,9789944888059,"Dünya Klasikleri, Edebiyat, Felsefe-Düşünce","Betrachtungen über Sünde, Hoffnung, Leid und den wahren Weg",Osman Çakmakçı,Türkçe,null,null,null,0-13 Yaş%7.314-17 Yaş%1018-24 Yaş%27.825-34 Yaş%31.635-44 Yaş%17.145-54 Yaş%3.255-64 Yaş%0.365+ Yaş%2.6,Kadın%60.8Erkek%39.1,7.8,1.434
Az,Hakan Günday,null,Temmuz 2012,360,Karton kapak,9786050900682,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%7.414-17 Yaş%3.818-24 Yaş%2525-34 Yaş%31.835-44 Yaş%22.545-54 Yaş%7.855-64 Yaş%0.765+ Yaş%0.9,Kadın%69.2Erkek%30.8,8.6,1.916
Cemile,"Cengiz Aytmatov, Refik Özdek (Çevirmen)",null,Mart 2019,80,Karton kapak,9786051553900,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Ötüken Neşriyat,null,0-13 Yaş%6.614-17 Yaş%10.518-24 Yaş%23.625-34 Yaş%30.935-44 Yaş%18.945-54 Yaş%5.955-64 Yaş%1.765+ Yaş%1.8,Kadın%66.9Erkek%33,8.2,1.692
Kızıl Nehirler,"Jean-Christophe Grangé, Tankut Gökçe (Çevirmen)",null,Ocak 2016,405,Karton kapak,9789759914615,"Edebiyat, Korku-Gerilim, Macera-Aksiyon, Polisiye, Roman",Les Rivieres Pourpres,null,Türkçe,Türkiye,null,null,0-13 Yaş%5.914-17 Yaş%3.118-24 Yaş%17.125-34 Yaş%30.535-44 Yaş%31.545-54 Yaş%1055-64 Yaş%0.965+ Yaş%1.1,Kadın%64.2Erkek%35.8,8.7,1.732
Savaş Sanatı,"Sun Tzu, Giray Fidan (Çevirmen), Pulat Otkan (Çevirmen)",null,Şubat 2019,53,Karton kapak,9786053322696,"Dünya Klasikleri, Felsefe-Düşünce",Bing Fa,null,Türkçe,Türkiye,null,null,0-13 Yaş%7.514-17 Yaş%5.918-24 Yaş%2925-34 Yaş%32.635-44 Yaş%18.645-54 Yaş%3.855-64 Yaş%0.365+ Yaş%2.3,Kadın%35.6Erkek%64.3,7.8,1.889
Devlet,"Platon, Sabahattin Eyüboğlu (Çevirmen), M. Ali Cimcoz (Çevirmen)",null,30 Ocak 2019,372,Karton kapak,9789754587173,"Felsefe-Düşünce, Siyaset-Politika",null,null,Türkçe,Türkiye,Türkiye İş Bankası Kültür Yayınları,null,0-13 Yaş%6.814-17 Yaş%4.918-24 Yaş%24.525-34 Yaş%33.935-44 Yaş%19.345-54 Yaş%7.555-64 Yaş%165+ Yaş%2.1,Kadın%44Erkek%56,8.4,1.433
Sinekli Bakkal,Halide Edib Adıvar,null,Nisan 2019,480,Karton kapak,9789750721663,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Can Yayınları,null,0-13 Yaş%5.414-17 Yaş%5.718-24 Yaş%19.625-34 Yaş%31.335-44 Yaş%23.445-54 Yaş%10.355-64 Yaş%1.965+ Yaş%2.4,Kadın%77.5Erkek%22.5,8.1,1.009
Benim Hüzünlü Orospularım,"Gabriel Garcia Marquez, İnci Kut (Çevirmen)",null,Nisan 2019,96,Karton kapak,9789750705243,"Edebiyat, Roman",Memoria de mis Putas Tristes,null,Türkçe,Türkiye,null,null,0-13 Yaş%7.714-17 Yaş%3.118-24 Yaş%22.725-34 Yaş%35.535-44 Yaş%21.645-54 Yaş%7.155-64 Yaş%165+ Yaş%1.2,Kadın%65.4Erkek%34.5,7.6,1.678
Harry Potter ve Melez Prens,"J. K. Rowling (Robert Galbraith), Sevin Okyay (Çevirmen), Kutlukhan Kutlu (Çevirmen), Betül Kadıoğlu (Editör)",Harry Potter #6,Mart 2016,594,Karton kapak,9789750809958,"Edebiyat, Fantastik, Gençlik, Roman",Harry Potter And The Half - Blood Prince,null,Türkçe,null,null,null,0-13 Yaş%4.114-17 Yaş%1518-24 Yaş%35.425-34 Yaş%31.235-44 Yaş%1045-54 Yaş%2.555-64 Yaş%0.665+ Yaş%1.2,Kadın%73Erkek%27,9.4,1.621
Ölü Canlar,"Nikolay Vasilyeviç Gogol, Mazlum Beyhan (Çevirmen)",null,Kasım 2012,484,Karton kapak,9789944889858,"Dünya Klasikleri, Edebiyat, Roman",Мёртвые Души,Mazlum Beyhan,Türkçe,null,null,null,0-13 Yaş%5.414-17 Yaş%5.818-24 Yaş%24.125-34 Yaş%32.735-44 Yaş%21.645-54 Yaş%855-64 Yaş%0.965+ Yaş%1.5,Kadın%59.5Erkek%40.4,7.9,1.309
Mai ve Siyah,Halid Ziya Uşaklıgil,null,Nisan 2016,352,Karton kapak,9786053849360,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Yakamoz Yayınları,null,0-13 Yaş%6.914-17 Yaş%9.318-24 Yaş%25.725-34 Yaş%32.335-44 Yaş%16.845-54 Yaş%5.655-64 Yaş%1.465+ Yaş%2,Kadın%76.2Erkek%23.8,8.0,1.176
Koku,"Patrick Süskind, Tevfik Turan (Çevirmen)",null,Nisan 2018,264,Karton kapak,9789755100593,"Edebiyat, Roman",Das Parfum,null,Türkçe,Türkiye,null,null,0-13 Yaş%6.414-17 Yaş%4.218-24 Yaş%20.125-34 Yaş%28.935-44 Yaş%27.845-54 Yaş%10.855-64 Yaş%0.365+ Yaş%1.4,Kadın%74.7Erkek%25.2,8.5,1.791
Huzur Sokağı,Şule Yüksel Şenler,null,Ekim 2000,552,Karton kapak,9789757544425,"Din (İslam), Edebiyat, Roman",null,null,Türkçe,Türkiye,Timaş Yayınları,null,0-13 Yaş%8.114-17 Yaş%7.218-24 Yaş%26.725-34 Yaş%26.735-44 Yaş%20.745-54 Yaş%8.155-64 Yaş%0.965+ Yaş%1.5,Kadın%84Erkek%15.9,8.1,1.182
Ruhi Mücerret,Murat Menteş,null,Mart 2013,318,Karton kapak,9786055162054,"Edebiyat, Macera-Aksiyon, Roman",null,null,Türkçe,Türkiye,April Yayıncılık,null,0-13 Yaş%814-17 Yaş%3.418-24 Yaş%26.225-34 Yaş%38.435-44 Yaş%18.345-54 Yaş%455-64 Yaş%0.465+ Yaş%1.3,Kadın%67Erkek%33,8.3,1.726
Uğultulu Tepeler,"Emily Brontë, Naciye Öncül (Çevirmen)",null,Aralık 2012,500,Karton kapak,9786053480143,"Dünya Klasikleri, Edebiyat, Roman",Wuthering Heights,Naciye Akseki Öncül,Türkçe,null,null,null,0-13 Yaş%8.614-17 Yaş%4.318-24 Yaş%2725-34 Yaş%31.335-44 Yaş%19.345-54 Yaş%6.955-64 Yaş%1.365+ Yaş%1.3,Kadın%87.4Erkek%12.6,8.4,1.678
Vahşetin Çağrısı,"Jack London, Levent Cinemre (Çevirmen)",null,Ekim 2017,112,Karton kapak,9789944887632,"Dünya Klasikleri, Edebiyat, Roman",The Call Of The Wild,Levent Cinemre,Türkçe,null,null,null,0-13 Yaş%7.514-17 Yaş%718-24 Yaş%2725-34 Yaş%28.935-44 Yaş%19.145-54 Yaş%7.355-64 Yaş%1.265+ Yaş%2,Kadın%51.1Erkek%48.9,8.3,1.741
İhanet Noktası,"Dan Brown, Petek Demir (Çevirmen)",null,Temmuz 2005,511,Karton kapak,9789752105737,"Polisiye, Edebiyat, Roman",Deception Point,Petek Demir,Türkçe,null,null,null,0-13 Yaş%4.514-17 Yaş%4.518-24 Yaş%19.825-34 Yaş%29.235-44 Yaş%28.945-54 Yaş%10.655-64 Yaş%1.165+ Yaş%1.4,Kadın%63.4Erkek%36.6,8.3,1.387
Gözlerini Sımsıkı Kapat,"John Verdon, Ender Nail (Çevirmen)",Dave Gurney Serisi 2,2012,566,Karton kapak,9786054188895,"Edebiyat, Polisiye, Roman",Shut Your Eyes Tight,Ender Nail,null,null,null,null,0-13 Yaş%6.114-17 Yaş%10.418-24 Yaş%27.425-34 Yaş%23.535-44 Yaş%22.545-54 Yaş%8.455-64 Yaş%0.765+ Yaş%1.1,Kadın%73.2Erkek%26.8,8.5,1.394
Havva'nın Üç Kızı,Elif Şafak,null,Haziran 2016,424,Karton kapak,9786050935370,"Aşk, Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%10.514-17 Yaş%11.118-24 Yaş%15.525-34 Yaş%24.935-44 Yaş%26.345-54 Yaş%9.555-64 Yaş%1.465+ Yaş%0.9,Kadın%85.2Erkek%14.7,7.3,1.639
On Küçük Zenci,"Agatha Christie, Semih Yazıcıoğlu (Çevirmen)",null,Temmuz 2006,191,Karton kapak,9789754050226,"Polisiye, Edebiyat, Roman",And They Wre None (Ten Little Niggers),Semih Yazıcıoğlu,Türkçe,null,null,null,0-13 Yaş%614-17 Yaş%918-24 Yaş%24.625-34 Yaş%3035-44 Yaş%21.345-54 Yaş%7.155-64 Yaş%0.865+ Yaş%1.2,Kadın%69.9Erkek%30.1,8.8,2.001
Ağrıdağı Efsanesi,"Yaşar Kemal, Abidin Dino (Çizer)",null,Ekim 2018,124,Karton kapak,9789750807411,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%7.714-17 Yaş%7.918-24 Yaş%1925-34 Yaş%32.535-44 Yaş%22.445-54 Yaş%5.955-64 Yaş%1.765+ Yaş%2.8,Kadın%59.9Erkek%40.1,8.8,1.779
Veda,Ayşe Kulin,Esir Şehirde Bir Konak,31 Ekim 2018,390,Karton kapak,9789752894402,"Edebiyat, Roman, Tarih",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%6.314-17 Yaş%3.418-24 Yaş%15.525-34 Yaş%24.735-44 Yaş%30.945-54 Yaş%16.555-64 Yaş%1.665+ Yaş%1.1,Kadın%84.9Erkek%15.1,8.3,1.104
Harry Potter ve Ölüm Yadigarları,"J. K. Rowling (Robert Galbraith), Sevin Okyay (Çevirmen), Kutlukhan Kutlu (Çevirmen), Betül Kadıoğlu (Editör)",Harry Potter #7,Mart 2016,690,Karton kapak,9789750812989,"Edebiyat, Fantastik, Gençlik, Roman",Harry Potter And The Deathly Hallows,null,Türkçe,null,null,null,0-13 Yaş%3.814-17 Yaş%14.318-24 Yaş%3625-34 Yaş%3135-44 Yaş%10.445-54 Yaş%2.755-64 Yaş%0.565+ Yaş%1.3,Kadın%73.2Erkek%26.8,9.5,1.616
Bu Ülke,Cemil Meriç,null,Mart 2018,339,Karton kapak,9789754702811,"Felsefe-Düşünce, İnsan ve Toplum, Sosyoloji",null,null,Türkçe,Türkiye,İletişim Yayınları,null,0-13 Yaş%7.814-17 Yaş%5.318-24 Yaş%27.425-34 Yaş%34.335-44 Yaş%1845-54 Yaş%555-64 Yaş%0.965+ Yaş%1.3,Kadın%50Erkek%49.9,9.0,1.695
Savaş ve Barış,"Lev Nikolayeviç Tolstoy, Tansu Akgün (Çevirmen)",2 Cilt Takım,22 Ocak 2019,1808,Ciltli,9786053329015,"Dünya Klasikleri, Edebiyat, Roman",Война и мир,null,Türkçe,null,null,null,0-13 Yaş%4.814-17 Yaş%3.718-24 Yaş%20.725-34 Yaş%3235-44 Yaş%24.745-54 Yaş%10.555-64 Yaş%265+ Yaş%1.6,Kadın%54.5Erkek%45.5,8.7,1.311
Pi,Akilah Azra Kohen,Bu Hikaye Burada Bitecek ve Sen Başlayacaksın...,Temmuz 2015,704,Karton kapak,9786059913959,"Edebiyat, Roman",null,null,Türkçe,Türkiye,null,null,0-13 Yaş%13.114-17 Yaş%218-24 Yaş%11.125-34 Yaş%27.735-44 Yaş%32.245-54 Yaş%11.555-64 Yaş%0.865+ Yaş%1.6,Kadın%84Erkek%15.9,8.3,1.516
Oliver Twist,"Charles Dickens, Nihal Yeğinobalı (Çevirmen), Ayşe Çelem (Tasarımcı)",null,11 Ekim 2018,576,Karton kapak,9789750708275,"Dünya Klasikleri, Edebiyat, Roman",Oliver Twist,null,Türkçe,Türkiye,null,null,0-13 Yaş%614-17 Yaş%8.218-24 Yaş%29.525-34 Yaş%27.935-44 Yaş%1845-54 Yaş%7.155-64 Yaş%1.465+ Yaş%1.9,Kadın%68.4Erkek%31.5,8.3,997
