Adı,Yazar,Alt başlık,Baskı tarihi,Sayfa sayısı,Format,ISBN,Kitabın türü,Orijinal adı,Çeviri,Dil,Ülke,Yayınevi,Baskılar,Yaş,Cinsiyet,Puan,Oy Sayısı
Suç ve Ceza,"Dostoyevski, Mazlum Beyhan (Çevirmen)",null,22 Ocak 2019,704,Karton kapak,9789754589023,"Dünya Klasikleri, Edebiyat, Roman",Prestupleniye i Nakazaniye,null,Türkçe,Türkiye,null,null,0-13 Yaş%27.514-17 Yaş%1118-24 Yaş%15.125-34 Yaş%16.535-44 Yaş%17.545-54 Yaş%7.955-64 Yaş%0.965+ Yaş%3.6,Kadın%62.3Erkek%37.7,9.2,11.561
Kuyucaklı Yusuf,Sabahattin Ali,null,Ocak 2019,222,Karton kapak,9789750800016,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%26.414-17 Yaş%17.518-24 Yaş%1625-34 Yaş%15.635-44 Yaş%14.445-54 Yaş%6.455-64 Yaş%1.765+ Yaş%2,Kadın%68.7Erkek%31.3,8.5,10.517
1984,"George Orwell, Celal Üster (Çevirmen)",null,Ocak 1984,352,Karton kapak,9789750718533,"Edebiyat, Roman, Siyaset-Politika",Nineteen Eighty-Four,null,Türkçe,Türkiye,null,null,0-13 Yaş%24.114-17 Yaş%15.618-24 Yaş%18.125-34 Yaş%15.335-44 Yaş%15.145-54 Yaş%8.655-64 Yaş%0.565+ Yaş%2.7,Kadın%58.4Erkek%41.6,8.9,11.747
İnsan Neyle Yaşar?,"Lev Nikolayeviç Tolstoy, Koray Karasulu (Çevirmen)",null,19 Şubat 2019,112,Karton kapak,9786053607038,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü)",Чем люди живы,null,Türkçe,Türkiye,null,null,0-13 Yaş%22.914-17 Yaş%21.318-24 Yaş%19.725-34 Yaş%15.835-44 Yaş%1345-54 Yaş%5.155-64 Yaş%0.165+ Yaş%2,Kadın%66.6Erkek%33.4,8.4,9.136
Olasılıksız,"Adam Fawer, Ayşe Şirin Okyayuz (Çevirmen)",null,Ekim 2018,475,Karton kapak,9789756006054,"Bilim-Kurgu, Edebiyat, Roman",Improbable,null,Türkçe,Türkiye,null,null,0-13 Yaş%25.914-17 Yaş%10.818-24 Yaş%1525-34 Yaş%1935-44 Yaş%18.645-54 Yaş%7.755-64 Yaş%0.765+ Yaş%2.5,Kadın%60.7Erkek%39.3,8.6,9.538
İçimizdeki Şeytan,Sabahattin Ali,null,5 Ocak 2019,256,Karton kapak,9789753638037,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Yapı Kredi Yayınları,null,0-13 Yaş%27.214-17 Yaş%13.418-24 Yaş%16.425-34 Yaş%17.235-44 Yaş%15.745-54 Yaş%7.255-64 Yaş%0.365+ Yaş%2.7,Kadın%68.3Erkek%31.7,8.6,9.248
Serenad,Zülfü Livaneli,null,Ocak 2013,484,Karton kapak,9786050900286,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%28.414-17 Yaş%12.718-24 Yaş%13.325-34 Yaş%17.235-44 Yaş%16.745-54 Yaş%8.455-64 Yaş%0.965+ Yaş%2.3,Kadın%73.6Erkek%26.4,9.1,10.368
Çalıkuşu,"Reşat Nuri Güntekin, Sayat Ayık (Tasarımcı)",null,22 Şubat 2019,544,Karton kapak,9789751027689,"Aşk, Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,İnkılâp Kitabevi,null,0-13 Yaş%25.814-17 Yaş%17.918-24 Yaş%18.225-34 Yaş%17.435-44 Yaş%11.945-54 Yaş%5.855-64 Yaş%0.465+ Yaş%2.7,Kadın%79.5Erkek%20.5,8.8,7.140
Bin Muhteşem Güneş,"Khaled Hosseini, Püren Özgören (Çevirmen)",null,2012,430,Karton kapak,9789752894846,"Edebiyat, Roman",A Thousand Splendid Suns,Püren Özgören,Türkçe,null,null,null,0-13 Yaş%27.314-17 Yaş%11.518-24 Yaş%15.925-34 Yaş%16.935-44 Yaş%17.445-54 Yaş%7.555-64 Yaş%1.365+ Yaş%2.1,Kadın%80.9Erkek%19.1,9.0,8.278
Aşk,"Elif Şafak, Kadir Yiğit Us (Çevirmen)",null,Mart 2009,420,Karton kapak,9786051111070,"Aşk, Edebiyat, Roman, Tarih",The Forty Rules of Love,null,Türkçe,Türkiye,null,null,0-13 Yaş%29.214-17 Yaş%4.218-24 Yaş%13.425-34 Yaş%1835-44 Yaş%20.945-54 Yaş%11.855-64 Yaş%0.665+ Yaş%1.8,Kadın%78.1Erkek%21.9,7.7,7.250
Yabancı,"Albert Camus, Samih Tiryakioğlu (Çevirmen), Utku Lomlu (Tasarımcı)",null,Temmuz 2019,112,Karton kapak,9789750724756,"Dünya Klasikleri, Edebiyat, Roman",L' Etranger,null,Türkçe,Türkiye,null,null,0-13 Yaş%26.814-17 Yaş%13.118-24 Yaş%20.325-34 Yaş%16.635-44 Yaş%14.545-54 Yaş%5.455-64 Yaş%0.565+ Yaş%2.7,Kadın%64.9Erkek%35.1,8.3,8.605
Dokuzuncu Hariciye Koğuşu,Peyami Safa (Server Bedi),null,Ağustos 2016,112,Karton kapak,9789754370485,"Edebiyat, Roman, Türk Klasikleri",null,null,Türkçe,Türkiye,Ötüken Neşriyat,null,0-13 Yaş%20.814-17 Yaş%18.518-24 Yaş%21.625-34 Yaş%19.835-44 Yaş%12.445-54 Yaş%3.855-64 Yaş%0.565+ Yaş%2.6,Kadın%71Erkek%29,8.3,5.921
Olağanüstü Bir Gece,"Stefan Zweig, İlknur İgan (Çevirmen)",null,15 Nisan 2019,80,Karton kapak,9786053326090,"Dünya Klasikleri, Edebiyat, Roman",Phantastische Nacht,null,Türkçe,Türkiye,null,null,0-13 Yaş%23.314-17 Yaş%19.218-24 Yaş%20.325-34 Yaş%18.135-44 Yaş%12.245-54 Yaş%4.155-64 Yaş%0.265+ Yaş%2.5,Kadın%71.8Erkek%28.2,7.9,7.953
Sefiller,"Victor Hugo, Volkan Yalçıntoklu (Çevirmen)",2 Cilt Takım,30 Ocak 2019,1724,Karton kapak,9786053324744,"Dünya Klasikleri, Edebiyat, Roman",Les Miserables,null,Türkçe,null,null,null,0-13 Yaş%21.414-17 Yaş%9.718-24 Yaş%19.825-34 Yaş%2335-44 Yaş%16.745-54 Yaş%5.255-64 Yaş%1.265+ Yaş%2.9,Kadın%64.7Erkek%35.3,9.1,6.729
Kardeşimin Hikayesi,Zülfü Livaneli,null,Nisan 2013,330,Karton kapak,9786050914443,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%26.314-17 Yaş%12.918-24 Yaş%14.925-34 Yaş%17.735-44 Yaş%17.245-54 Yaş%8.355-64 Yaş%0.865+ Yaş%2,Kadın%76.8Erkek%23.2,8.8,7.665
Yeraltından Notlar,"Dostoyevski, Nihal Yalaza Taluy (Çevirmen)",null,Haziran 2019,140,Karton kapak,9789944884013,"Dünya Klasikleri, Edebiyat, Roman, Yeraltı Edebiyatı",Записки из подполья,null,Türkçe,Türkiye,null,null,0-13 Yaş%20.214-17 Yaş%15.418-24 Yaş%2325-34 Yaş%18.835-44 Yaş%14.545-54 Yaş%4.955-64 Yaş%0.165+ Yaş%3.1,Kadın%60.6Erkek%39.4,8.6,6.959
Bir Kadının Yaşamından Yirmi Dört Saat,"Stefan Zweig, Mahmure Kahraman (Çevirmen)",null,1 Mart 2019,80,Karton kapak,9786053324225,"Dünya Klasikleri, Edebiyat, Roman",Vierundzwanzig Stunden aus Dem Leben Einer Frau,null,Türkçe,Türkiye,null,null,0-13 Yaş%22.514-17 Yaş%20.118-24 Yaş%18.625-34 Yaş%18.335-44 Yaş%12.245-54 Yaş%5.755-64 Yaş%0.665+ Yaş%2,Kadın%79.3Erkek%20.7,8.1,6.003
Huzursuzluk,Zülfü Livaneli,null,Ocak 2017,160,Karton kapak,9786050939828,"Edebiyat, Roman",null,null,Türkçe,Türkiye,Doğan Kitap,null,0-13 Yaş%27.514-17 Yaş%1418-24 Yaş%13.925-34 Yaş%16.935-44 Yaş%16.345-54 Yaş%8.655-64 Yaş%0.765+ Yaş%2,Kadın%73.9Erkek%26.1,8.5,6.712
Sol Ayağım,"Christy Brown, Kaan Mutlu (Çevirmen)",null,Ağustos 2017,192,Karton kapak,9786055913229,"Biyografi, Edebiyat, Roman",My Left Foot,null,Türkçe,Türkiye,null,null,0-13 Yaş%20.414-17 Yaş%24.918-24 Yaş%22.325-34 Yaş%14.135-44 Yaş%11.645-54 Yaş%3.855-64 Yaş%0.765+ Yaş%2.2,Kadın%79.5Erkek%20.5,8.5,5.167
Martı Jonathan Livingston,"Richard Bach, Kader Ay (Çevirmen)",null,Ekim 2011,96,Karton kapak,9789753310086,"Edebiyat, Hikaye (Öykü)","Jonathan Livingstone Seagull, 1970",Kader Ay Demireğen,Türkçe,null,null,null,0-13 Yaş%20.214-17 Yaş%17.218-24 Yaş%17.825-34 Yaş%18.335-44 Yaş%17.345-54 Yaş%6.555-64 Yaş%0.565+ Yaş%2.2,Kadın%71.5Erkek%28.5,8.5,5.679
Genç Werther'in Acıları,"Johann Wolfgang Von Goethe, Mahmure Kahraman (Çevirmen)",null,2011,126,Karton kapak,9786053603511,"Anı-Mektup-Günlük, Aşk, Dünya Klasikleri, Edebiyat",Die Leiden des Jungen Werther,null,Türkçe,Türkiye,null,null,0-13 Yaş%21.114-17 Yaş%16.418-24 Yaş%21.525-34 Yaş%20.835-44 Yaş%13.345-54 Yaş%4.755-64 Yaş%0.365+ Yaş%2.1,Kadın%71.7Erkek%28.3,8.3,5.870
Amok Koşucusu,"Stefan Zweig, Nafer Ermiş (Çevirmen)",null,9 Şubat 2019,64,Karton kapak,9786053329053,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü)",Der Amokläufer,null,Türkçe,Türkiye,null,null,0-13 Yaş%18.714-17 Yaş%19.918-24 Yaş%20.725-34 Yaş%19.335-44 Yaş%1345-54 Yaş%5.855-64 Yaş%0.765+ Yaş%2,Kadın%71.2Erkek%28.8,8.3,6.118
Korku,"Stefan Zweig, İlknur İgan (Çevirmen), Gamze Varım (Editör)",null,Ocak 2016,80,Karton kapak,9786053325017,"Dünya Klasikleri, Edebiyat, Hikaye (Öykü)",Angst,null,Türkçe,Türkiye,null,null,0-13 Yaş%18.614-17 Yaş%23.718-24 Yaş%20.225-34 Yaş%19.635-44 Yaş%1145-54 Yaş%4.355-64 Yaş%0.765+ Yaş%2,Kadın%72.9Erkek%27.1,8.6,5.854
